w, relerror, abserror 
0.0001,0.09194419068743163,0.005281335866609869
0.00014563484775012445,0.09194419146348157,0.005281335858274344
0.00021209508879201905,0.09194419309756495,0.005281335839901118
0.00030888435964774815,0.0919441966164417,0.005281335803977611
0.0004498432668969444,0.09194420395884059,0.005281335720858127
0.0006551285568595509,0.0919442197232384,0.005281335555531045
0.0009540954763499944,0.09194425311438739,0.005281335202371275
0.0013894954943731374,0.09194432405007177,0.005281334459914187
0.0020235896477251557,0.09194447436838137,0.00528133287765519
0.0029470517025518097,0.09194479313375507,0.005281329519024044
0.004291934260128779,0.09194546935622028,0.005281322404616895
0.0062505519252739694,0.09194690332473798,0.005281307305565709
0.009102981779915217,0.0919499445520883,0.0052812752975426374
0.013257113655901081,0.09195639320019436,0.0052812074276178305
0.019306977288832496,0.09197006340870995,0.005281063577205251
0.02811768697974228,0.09199902580203455,0.005280758933883507
0.040949150623804234,0.09206031337037998,0.005280114891586165
0.05963623316594643,0.09218967227243331,0.005278758125747745
0.08685113737513521,0.09246124130316302,0.005275921150957915
0.12648552168552957,0.09302496825064101,0.0052700793339431505
0.18420699693267145,0.09416827531699429,0.005258411499733539
0.2682695795279725,0.09638117638004533,0.005236394262077743
0.3906939937054613,0.10029314104776234,0.0051985432241176575
0.5689866029018293,0.1061155320164601,0.0051409119723278066
0.8286427728546842,0.11230876205405323,0.005062048996589628
1.2067926406393288,0.11592248417590435,0.004964032331098071
1.7575106248547894,0.11867839470384876,0.004903517011760125
2.559547922699533,0.12674711744905046,0.005005146765938566
3.727593720314938,0.13447334773672867,0.0050631116839482855
5.428675439323859,0.09611158372138719,0.004295347574975605
7.9060432109076855,0.04820126386397248,0.0034470716847931097
11.513953993264458,0.005119472509115046,0.005641221861368545
16.768329368110066,0.018434430046973004,0.003825721894009057
24.420530945486497,0.18373098163546414,0.00586658701260025
35.564803062231285,0.9823290415853618,0.005645659968650333
51.79474679231202,0.6800465883079369,0.0013173116893732142
75.43120063354607,0.5199668047499496,0.0009983422151877647
109.85411419875572,0.42485893977192296,0.0008027914637898467
159.98587196060572,0.3885500895688339,0.0007039544385144797
232.99518105153672,0.3787099379380838,0.0006472508672917098
339.3221771895323,0.379602672491399,0.0006126996487617803
494.1713361323828,0.38340686544707764,0.0005911977220992179
719.6856730011514,0.3871171227617807,0.0005786712017138299
1048.1131341546852,0.3896306946131892,0.0005717931355196141
1526.4179671752302,0.39105976321762487,0.0005682062620378901
2222.996482526191,0.3918046343847903,0.0005663576628529333
3237.45754281764,0.3921834175504767,0.0005653114084914064
4714.8663634573895,0.39238977807645836,0.0005644880789027899
6866.488450042998,0.39253845502363444,0.0005634123259839127
10000.0,0.3927145450959509,0.0005614625956111529
