t, yerr 
4.86328125,0.00043956277022484403
4.865234375,0.00043979421316373837
4.8671875,0.00043989360010921786
4.869140625,0.0004398610358553152
4.87109375,0.0004396967636690455
4.873046875,0.0004394011657336676
4.875,0.0004389747654871917
4.876953125,0.0004384182323924596
4.87890625,0.0004377323818135328
4.880859375,0.00043691817761052726
4.8828125,0.0004359767373949824
4.884765625,0.0004349093304871969
4.88671875,0.0004337173847649883
4.888671875,0.0004324024894110057
4.890625,0.00043096639515596553
4.892578125,0.00042941102063840335
4.89453125,0.0004277384542034794
4.896484375,0.0004259509580365528
4.8984375,0.00042405097112948643
4.900390625,0.0004220411143526446
4.90234375,0.0004199241933658965
4.904296875,0.000417703203663934
4.90625,0.0004153813335224401
4.908203125,0.000412961971244892
4.91015625,0.0004104487058797049
4.912109375,0.00040784533473914737
4.9140625,0.00040515586712648886
4.916015625,0.00040238452957756414
4.91796875,0.00039953576966540803
4.919921875,0.0003966142632941921
4.921875,0.00039362491632912854
4.923828125,0.0003905728720718993
4.92578125,0.00038746351409820243
4.927734375,0.00038430247145600227
4.9296875,0.0003810956235663963
4.931640625,0.00037784910073427913
4.93359375,0.00037456929026206677
4.935546875,0.0003712628381082306
4.9375,0.0003679366493912148
4.939453125,0.0003645978882055979
4.94140625,0.00036125397904884456
4.943359375,0.0003579126022257797
4.9453125,0.00035458169102034996
4.947265625,0.00035126942354513535
4.94921875,0.0003479842185170584
4.951171875,0.00034473471899166966
4.953125,0.0003415297807002841
4.955078125,0.00033837845556749726
4.95703125,0.0003352899688668112
4.958984375,0.00033227369721901446
4.9609375,0.0003293391337681264
4.962890625,0.00032649586012137625
4.96484375,0.0003237535064351663
4.966796875,0.0003211217067210297
4.96875,0.0003186100537477537
4.970703125,0.00031622804429270367
4.97265625,0.00031398502302231384
4.974609375,0.00031189012007615166
4.9765625,0.0003099521904007125
4.978515625,0.00030817974255677535
4.98046875,0.0003065808719807081
4.982421875,0.00030516318977432376
4.984375,0.00030393375484871825
4.986328125,0.00030289900630391017
4.98828125,0.0003020646997442303
4.990234375,0.0003014358460876209
4.9921875,0.0003010166605648185
4.994140625,0.00030081051672614325
4.99609375,0.00030081990871170747
4.998046875,0.00030104642542853085
5.0,0.00030149073538444763
5.001953125,0.00030215257470863103
5.00390625,0.00030303075854324013
5.005859375,0.0003041231950805229
5.0078125,0.0003054269094914743
5.009765625,0.0003069380832994857
5.01171875,0.0003086520971304305
5.013671875,0.000310563579576994
5.015625,0.00031266646660715116
5.017578125,0.00031495406361198866
5.01953125,0.0003174191093379697
5.021484375,0.0003200538420436602
5.0234375,0.0003228500654253354
5.025390625,0.00032579921718792925
5.02734375,0.00032889243037447787
5.029296875,0.0003321205967923372
5.03125,0.00033547442366072634
5.033203125,0.00033894448916790593
5.03515625,0.0003425212918976073
5.037109375,0.0003461952974594876
5.0390625,0.0003499569782958274
5.041015625,0.000353796853510675
5.04296875,0.00035770551751762976
5.044921875,0.0003616736723874677
5.046875,0.0003656921506881088
5.048828125,0.0003697519360500029
5.05078125,0.000373844181299585
5.052734375,0.00037796022427785914
5.0546875,0.00038209159887284507
5.056640625,0.0003862300434709016
5.05859375,0.0003903675106385138
5.060546875,0.00039449617105825365
5.0625,0.00039860841832258166
5.064453125,0.000402696871531135
5.06640625,0.0004067543766849548
5.068359375,0.00041077400757944443
5.0703125,0.0004147490646047439
5.072265625,0.00041867307396747857
5.07421875,0.00042253978805828935
5.076171875,0.00042634318065567725
5.078125,0.0004300774476211138
5.080078125,0.00043373700352393365
5.08203125,0.00043731647797832113
5.083984375,0.00044081071501846303
5.0859375,0.0004442147690169577
5.087890625,0.00044752390267200156
5.08984375,0.00045073358517453647
5.091796875,0.0004538394879776386
5.09375,0.00045683748382225665
5.095703125,0.0004597236443799332
5.09765625,0.00046249423809681324
5.099609375,0.0004651457271185993
5.1015625,0.000467674767644047
5.103515625,0.0004700782059343111
5.10546875,0.00047235307847012277
5.107421875,0.00047449660964727524
5.109375,0.0004765062108283328
5.111328125,0.00047837947958584
5.11328125,0.00048011419854053966
5.115234375,0.00048170833495638345
5.1171875,0.00048316004024871777
5.119140625,0.0004844676489931678
5.12109375,0.0004856296791577666
5.123046875,0.0004866448319435351
5.125,0.00048751199249234714
5.126953125,0.0004882302287636623
5.12890625,0.0004887987935197067
5.130859375,0.0004892171235640256
5.1328125,0.0004894848410570965
5.134765625,0.0004896017541441913
5.13671875,0.0004895678583812567
5.138671875,0.0004893833379224469
5.140625,0.0004890485662989962
5.142578125,0.0004885641082729317
5.14453125,0.0004879307207114181
5.146484375,0.0004871493559590818
5.1484375,0.00048622116301674594
5.150390625,0.0004851474893076954
5.15234375,0.0004839298830946309
